City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
meulaboh,24,id,1544333022,100,4.14,96.13,83.68,6.31
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
pundaguitan,64,ph,1544333024,100,6.37,126.17,81.52,1.79
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
mount isa,0,au,1544331600,15,-20.73,139.49,100.4,18.34
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
opuwo,0,na,1544333037,56,-18.06,13.84,56.41,2.57
nueva loja,92,ec,1544333039,100,0.08,-76.88,69.64,2.28
bonfim,0,br,1544328000,77,-20.33,-44.24,62.6,9.17
nigran,90,es,1544331600,100,42.14,-8.81,50,5.08
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
vostok,36,ru,1544333049,53,46.45,135.83,-5.25,5.75
cape town,0,za,1544331600,68,-33.93,18.42,64.4,13.87
east london,75,za,1544331600,88,-33.02,27.91,62.6,8.05
vilhena,48,br,1544333056,96,-12.74,-60.15,70.36,2.8
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
gulbene,88,lv,1544333064,94,57.18,26.75,34.63,14.88
la ronge,20,ca,1544331600,73,55.1,-105.3,19.4,4.7
khatanga,48,ru,1544333072,65,71.98,102.47,-14.25,4.92
mazatlan,5,mx,1544330400,93,23.22,-106.42,64.4,3.36
karratha,12,au,1544333007,13,-20.74,116.85,111.94,8.28
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
kruisfontein,80,za,1544333083,91,-34,24.73,63.07,8.77
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
avarua,90,ck,1544331600,88,-21.21,-159.78,80.6,13.87
ust-maya,48,ru,1544332977,36,60.42,134.54,-24.19,1.79
lorengau,64,pg,1544332839,100,-2.02,147.27,83.95,7.76
pangnirtung,0,ca,1544333096,77,66.15,-65.72,-17.71,2.73
saldanha,0,za,1544328000,82,-33.01,17.94,57.2,4.7
makakilo city,1,us,1544331420,68,21.35,-158.09,72.19,6.93
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
imeni poliny osipenko,76,ru,1544333104,63,52.42,136.49,-3.31,3.62
broome,40,au,1544331600,70,-17.97,122.23,89.6,20.8
arona,0,es,1544331600,77,28.1,-16.68,60.96,2.24
tasiilaq,36,gl,1544331000,52,65.61,-37.64,19.4,5.82
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
gumdag,32,tm,1544333116,100,39.2,54.59,45.74,2.57
pevek,8,ru,1544333118,97,69.7,170.27,-12,5.86
taoudenni,0,ml,1544333122,54,22.68,-3.98,51.82,12.3
westport,80,ie,1544333123,95,53.8,-9.52,47.18,19.39
pacific grove,1,us,1544331300,76,36.62,-121.92,49.1,4.7
bada,36,ru,1544333131,58,51.39,109.87,-3.49,3.51
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
gornoye loo,40,ru,1544331600,75,43.72,39.61,41,15.66
torbay,90,ca,1544331600,92,47.66,-52.73,26.6,12.75
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
bambous virieux,75,mu,1544331600,78,-20.34,57.76,80.6,13.87
bredasdorp,44,za,1544331600,63,-34.53,20.04,66.2,5.82
carnarvon,0,au,1544331600,65,-24.87,113.63,77,21.92
galesong,68,id,1544333158,92,-5.32,119.37,84.49,10.56
talaya,0,ru,1544331600,84,55.79,84.89,6.8,6.71
vallenar,0,cl,1544333163,71,-28.58,-70.76,47.09,2.39
antalaha,56,mg,1544333165,83,-14.9,50.28,80.62,7.31
fort collins,1,us,1544331480,71,40.55,-105.07,25.72,6.93
torbay,90,ca,1544331600,92,47.66,-52.73,26.6,12.75
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
qaanaaq,36,gl,1544332348,96,77.48,-69.36,-5.56,8.43
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
tombouctou,0,ml,1544333185,55,16.77,-3.01,48.76,3.24
fortuna,90,us,1544331300,87,40.6,-124.16,52.72,6.93
tigil,44,ru,1544333191,74,57.8,158.67,5.56,2.91
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
khandyga,48,ru,1544333194,51,62.65,135.58,-30.49,2.91
lorengau,64,pg,1544332839,100,-2.02,147.27,83.95,7.76
san pedro,0,bo,1544333197,73,-17.27,-66.8,36.25,3.02
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
saint-francois,20,gp,1544331600,88,16.25,-61.27,71.6,17.11
bathsheba,20,bb,1544331600,65,13.22,-59.52,78.8,19.46
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
leh,76,in,1544333213,79,34.16,77.58,-2.37,0.34
nikolskoye,90,ru,1544331600,86,59.7,30.79,28.4,13.42
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
sale,92,au,1544332987,78,-38.11,147.06,68.47,3.02
geraldton,0,au,1544331600,57,-28.77,114.6,77,21.92
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
emerald,75,au,1544331600,33,-23.53,148.16,91.4,13.87
mayo,90,ca,1544331600,74,63.59,-135.9,30.2,6.93
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
cherskiy,68,ru,1544333238,93,68.75,161.3,-21.18,5.14
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
nemuro,75,jp,1544331600,49,43.32,145.57,24.8,8.05
swan hill,88,au,1544333245,87,-35.34,143.56,71.89,11.45
hilo,40,us,1544331180,75,19.71,-155.08,73.04,6.93
stornoway,36,gb,1544331000,93,58.21,-6.39,35.6,4.7
indi,8,in,1544333255,58,17.17,75.96,83.5,8.05
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
tuatapere,100,nz,1544333263,100,-46.13,167.69,56.81,12.46
mantua,100,cu,1544333264,81,22.29,-84.28,78.23,5.64
sitka,0,us,1544332878,72,37.17,-99.65,15.28,2.91
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
new norfolk,20,au,1544331600,59,-42.78,147.06,66.2,12.75
arraial do cabo,12,br,1544333276,100,-22.97,-42.02,67.75,4.41
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
brae,36,gb,1544331000,80,60.4,-1.35,39.2,25.28
san patricio,0,mx,1544333282,100,19.22,-104.7,68.96,2.51
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
provideniya,20,ru,1544333291,100,64.42,-173.23,15.64,19.95
amudat,0,ug,1544333293,70,1.95,34.95,72.61,3.58
luanda,75,ao,1544328000,94,-8.83,13.24,75.2,5.82
ilulissat,0,gl,1544331000,65,69.22,-51.1,8.6,4.7
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
severo-kurilsk,56,ru,1544333304,100,50.68,156.12,30.4,5.53
salalah,0,om,1544331000,54,17.01,54.1,78.8,2.24
skjervoy,8,no,1544333310,100,70.03,20.97,26.89,8.95
uyuni,36,bo,1544333315,92,-20.46,-66.82,39.08,5.53
new norfolk,20,au,1544331600,59,-42.78,147.06,66.2,12.75
vila velha,40,br,1544331600,83,-3.71,-38.6,80.6,6.93
husavik,44,is,1544333318,100,66.04,-17.34,17.53,3.29
huaraz,32,pe,1544333184,100,-9.53,-77.53,35.03,0.6
saint-pierre,24,pm,1544333324,100,46.77,-56.17,31.39,24.76
itaituba,0,br,1544333327,99,-4.26,-55.99,72.83,2.35
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
quibdo,80,co,1544333334,99,5.69,-76.66,70.94,1.9
saint george,90,bm,1544331300,59,32.38,-64.68,64.4,11.41
miraflores,44,co,1544333339,100,5.2,-73.14,45.34,1.01
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
victoria,75,sc,1544331600,79,-4.62,55.45,84.2,8.05
paamiut,56,gl,1544333020,100,61.99,-49.67,28.06,10.07
port lincoln,56,au,1544333352,82,-34.72,135.86,65.95,16.37
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
mar del plata,80,ar,1544333356,55,-46.43,-67.52,66.4,1.05
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
lethem,8,gy,1544333362,76,3.38,-59.8,76.79,8.66
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
bethel,90,us,1544331360,91,60.79,-161.76,21.47,5.82
puerto ayora,36,ec,1544333371,100,-0.74,-90.35,71.84,8.05
gallipoli,40,it,1544332800,81,40.06,18,51.24,13.87
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
leningradskiy,44,ru,1544332436,100,69.38,178.42,1.6,17.94
rio hato,0,pa,1544333380,100,8.38,-80.16,74.05,7.38
karpogory,20,ru,1544333382,74,64,44.44,18.61,8.39
santa isabel do rio negro,44,br,1544333386,96,-0.41,-65.02,75.71,2.73
luwuk,24,id,1544333390,100,-0.95,122.79,81.29,1.57
tasiilaq,36,gl,1544331000,52,65.61,-37.64,19.4,5.82
cottonwood,1,us,1544331420,65,34.74,-112.01,33.12,9.17
vanavara,80,ru,1544333397,78,60.35,102.28,-18.21,4.07
saldanha,0,za,1544328000,82,-33.01,17.94,57.2,4.7
arraial do cabo,12,br,1544333276,100,-22.97,-42.02,67.75,4.41
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
sumbe,64,ao,1544333411,100,-11.2,13.84,74.32,3.91
haimen,100,cn,1544333491,100,31.87,121.18,46.19,8.43
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
cape town,0,za,1544331600,68,-33.93,18.42,64.4,13.87
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
cape town,0,za,1544331600,68,-33.93,18.42,64.4,13.87
isangel,8,vu,1544333433,100,-19.55,169.27,78.01,22.26
upernavik,76,gl,1544333437,100,72.79,-56.15,8.66,10.11
leesburg,1,us,1544332920,68,39.12,-77.56,29.07,3.36
imeni poliny osipenko,76,ru,1544333104,63,52.42,136.49,-3.31,3.62
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
hamilton,90,bm,1544331300,59,32.3,-64.78,64.4,11.41
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
ponta do sol,40,cv,1544331600,88,17.2,-25.09,73.4,8.05
castro,90,cl,1544331600,100,-42.48,-73.76,53.6,13.87
suntar,24,ru,1544333465,78,62.16,117.65,-17.89,3.91
merke,8,kz,1544333469,79,42.87,73.19,28.69,2.28
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
leningradskiy,44,ru,1544332436,100,69.38,178.42,1.6,17.94
san luis,20,hn,1544331600,94,15.08,-88.38,73.4,2.24
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
luanda,75,ao,1544328000,94,-8.83,13.24,75.2,5.82
kruisfontein,80,za,1544333083,91,-34,24.73,63.07,8.77
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
hasaki,75,jp,1544331600,42,35.73,140.83,45.45,8.05
campo grande,0,br,1544331600,53,-20.46,-54.62,73.4,14.99
hithadhoo,64,mv,1544333451,100,-0.6,73.08,80.89,5.75
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
port elizabeth,0,za,1544328000,93,-33.92,25.57,60.8,5.82
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
port elizabeth,0,za,1544328000,93,-33.92,25.57,60.8,5.82
rognan,75,no,1544331000,69,67.1,15.4,33.8,16.11
mar del plata,80,ar,1544333356,55,-46.43,-67.52,66.4,1.05
poum,56,nc,1544333528,94,-20.23,164.02,81.16,19.39
sangre grande,20,tt,1544331600,78,10.59,-61.13,75.2,8.43
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
grand gaube,75,mu,1544331600,78,-20.01,57.66,80.6,13.87
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
kahului,40,us,1544331360,81,20.89,-156.47,71.13,23.04
kamenka,92,ru,1544333549,90,53.19,44.05,20.14,7.65
clyde river,1,ca,1544331600,75,70.47,-68.59,-20.21,3.36
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
ahipara,0,nz,1544333560,73,-35.17,173.16,66.08,14.7
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
tuktoyaktuk,90,ca,1544331600,84,69.44,-133.03,3.2,14.99
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
new norfolk,20,au,1544331600,59,-42.78,147.06,66.2,12.75
riyadh,0,sa,1544331600,63,24.63,46.72,62.6,13.87
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
clarence town,68,bs,1544333581,100,23.1,-74.98,79.31,15.7
thompson,40,ca,1544331600,91,55.74,-97.86,3.2,2.62
maceio,0,br,1544331600,88,-9.67,-35.74,75.2,2.24
vuktyl,68,ru,1544333587,83,63.86,57.31,15.82,4.92
nikolskoye,90,ru,1544331600,86,59.7,30.79,28.4,13.42
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
mareeba,75,au,1544331600,94,-16.99,145.42,75.2,8.05
kruisfontein,80,za,1544333083,91,-34,24.73,63.07,8.77
merauke,8,id,1544333603,70,-8.49,140.4,90.38,12.19
umm lajj,0,sa,1544333606,100,25.02,37.27,64.33,6.15
bredasdorp,44,za,1544331600,63,-34.53,20.04,66.2,5.82
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
bluff,76,nz,1544333613,97,-46.6,168.33,57.85,15.99
tuktoyaktuk,90,ca,1544331600,84,69.44,-133.03,3.2,14.99
dikson,92,ru,1544333617,98,73.51,80.55,17.48,29.68
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
ribeira grande,8,pt,1544333628,97,38.52,-28.7,65.23,17.72
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
nanortalik,56,gl,1544333631,90,60.14,-45.24,27.29,15.37
pimampiro,24,ec,1544333634,100,0.39,-77.94,44.08,1.9
klaksvik,36,fo,1544332800,86,62.23,-6.59,33.8,14.99
juegang,92,cn,1544333639,100,32.31,121.18,47.14,12.3
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
kavieng,44,pg,1544333644,100,-2.57,150.8,84.58,5.86
kavieng,44,pg,1544333644,100,-2.57,150.8,84.58,5.86
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
faanui,44,pf,1544333652,100,-16.48,-151.75,80.39,12.41
dwarka,0,in,1544331600,45,28.58,77.04,68,3.02
tuktoyaktuk,90,ca,1544331600,84,69.44,-133.03,3.2,14.99
georgetown,92,sh,1544333661,100,-7.93,-14.42,76.88,14.09
lebu,92,cl,1544333665,100,-37.62,-73.65,57.44,12.57
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
aksay,88,kz,1544333673,95,51.17,53.01,23.56,6.04
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
dikson,92,ru,1544333617,98,73.51,80.55,17.48,29.68
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
jizan,40,sa,1544328000,69,16.89,42.56,80.6,6.26
sisimiut,0,gl,1544333691,100,66.94,-53.67,-14.34,1.83
tiksi,24,ru,1544333696,0,71.64,128.87,-38.37,3.36
hilo,40,us,1544331180,75,19.71,-155.08,73.04,6.93
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
novo aripuana,0,br,1544333701,96,-5.12,-60.38,73.33,2.28
cidreira,0,br,1544333450,72,-30.17,-50.22,63.38,14.88
belaya gora,24,ru,1544333707,0,68.54,146.19,-36.3,3.24
thinadhoo,0,mv,1544333709,100,0.53,72.93,83.36,6.38
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
amguri,20,in,1544331600,56,26.81,94.53,71.6,3.36
saint-philippe,0,re,1544331600,45,-21.36,55.77,85.15,5.82
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
nikki,0,bj,1544333727,50,9.94,3.21,61.31,5.86
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
butaritari,64,ki,1544333731,100,3.07,172.79,85.84,5.41
antalaha,56,mg,1544333165,83,-14.9,50.28,80.62,7.31
carnarvon,0,au,1544331600,65,-24.87,113.63,77,21.92
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
timon,92,br,1544333742,100,-5.1,-42.84,70.58,2.39
caetes,12,br,1544333747,94,-8.77,-36.62,65.81,5.53
hofn,0,is,1544333749,100,64.25,-15.21,30.67,13.13
victoria point,75,au,1544331600,57,-27.58,153.3,78.84,10.29
fortuna,90,us,1544331300,87,40.6,-124.16,52.72,6.93
bluff,76,nz,1544333613,97,-46.6,168.33,57.85,15.99
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
namtsy,0,ru,1544331600,66,62.72,129.66,-29.21,2.24
puerto del rosario,0,es,1544331600,82,28.5,-13.86,62.15,6.93
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
lumphat,32,kh,1544333775,57,13.5,106.97,89.98,2.73
bani,80,do,1544333777,100,18.28,-70.33,76.57,17.94
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
torbay,90,ca,1544331600,92,47.66,-52.73,26.6,12.75
torres,0,br,1544333784,98,-29.34,-49.73,63.07,11.41
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
sao filipe,0,cv,1544333788,100,14.9,-24.5,74.63,11.9
ambon,64,id,1544333791,85,-3.7,128.18,88.18,7.43
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
sibolga,48,id,1544333796,93,1.74,98.78,78.1,1.34
chegutu,32,zw,1544333798,68,-18.13,30.15,76.39,9.66
saint-philippe,0,re,1544331600,45,-21.36,55.77,85.15,5.82
guerrero negro,0,mx,1544333804,92,27.97,-114.04,54.43,6.26
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
rawson,56,ar,1544333808,48,-43.3,-65.11,68.11,21.74
anuradhapura,80,lk,1544333810,81,8.34,80.41,82.19,15.43
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
avarua,90,ck,1544331600,88,-21.21,-159.78,80.6,13.87
butaritari,64,ki,1544333731,100,3.07,172.79,85.84,5.41
san cristobal,24,ec,1544333821,97,-1.02,-79.44,57.26,1.57
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
kudahuvadhoo,20,mv,1544333824,100,2.67,72.89,82.19,7.94
nome,90,us,1544332500,82,30.04,-94.42,44.4,14.99
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
manono,92,cd,1544333835,100,-7.3,27.4,69.19,2.91
teruel,0,es,1544331600,86,40.34,-1.11,40.96,3.36
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
champasak,20,la,1544331600,62,14.89,105.88,87.8,6.93
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
hilo,40,us,1544331180,75,19.71,-155.08,73.04,6.93
east london,75,za,1544331600,88,-33.02,27.91,62.6,8.05
tasiilaq,36,gl,1544331000,52,65.61,-37.64,19.4,5.82
pringsewu,36,id,1544333855,93,-5.36,104.98,81.34,2.35
avarua,90,ck,1544331600,88,-21.21,-159.78,80.6,13.87
shahr-e babak,0,ir,1544333863,56,30.12,55.12,43.18,4.74
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
olinda,20,br,1544331600,93,-22.82,-43.41,62.85,3.36
esil,0,kz,1544333882,56,51.96,66.41,-5.92,3.58
ponta do sol,40,cv,1544331600,88,17.2,-25.09,73.4,8.05
hithadhoo,64,mv,1544333451,100,-0.6,73.08,80.89,5.75
rantepao,36,id,1544333891,100,-2.97,119.9,74.86,2.01
santa cruz do capibaribe,92,br,1544333893,95,-7.95,-36.21,71.62,3.06
los llanos de aridane,0,es,1544331600,72,28.66,-17.92,64.4,9.17
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
dunedin,76,nz,1544333903,89,-45.87,170.5,63.79,3.91
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
chuy,44,uy,1544333908,82,-33.69,-53.46,61.45,14.09
